Time,HR,RR,Mode,GSR,SkinT,AccX,AccY,AccZ,outcome
15/02/2017 04:01,0,0.547536,Locked,15062,0,0.976,0.079,-0.361,FALSE
15/02/2017 04:01,74,0.779824,Locked,15062,0,0.957,0.285,-0.118,
15/02/2017 04:01,74,0.796416,Locked,15650,0,0.97,0.333,0.158,
15/02/2017 04:01,74,0.779824,Locked,15786,0,1.032,0.461,0.404,
15/02/2017 04:01,74,0.8296,Locked,15786,0,1.205,0.677,0.248,
15/02/2017 04:01,74,0.779824,Locked,15786,0,1.426,0.47,-0.072,
15/02/2017 04:01,74,0.613904,Acquiring,15925,0,0.66,0.763,0.712,
15/02/2017 04:01,74,0.779824,Acquiring,15925,0,0.685,0.144,0.111,
15/02/2017 04:01,74,0.033184,Acquiring,15855,0,0.685,0.144,0.111,
15/02/2017 04:01,74,0.398208,Acquiring,15718,33.34,1.166,0.968,0.841,
15/02/2017 04:01,75,0.365024,Acquiring,15650,33.34,-0.214,0.558,0.859,
15/02/2017 04:01,75,0.16592,Acquiring,15582,33.34,0.472,0.214,0.773,
15/02/2017 04:01,75,0.149328,Acquiring,15582,33.34,-0.005,0.257,0.473,
15/02/2017 04:01,75,0.16592,Acquiring,15582,33.34,-0.142,0.115,0.362,
15/02/2017 04:01,75,0.49776,Acquiring,15449,33.34,-0.123,0.304,1.871,
15/02/2017 04:01,75,0.464576,Acquiring,15318,33.34,-0.794,0.325,-0.017,
15/02/2017 04:01,75,0.365024,Acquiring,15318,33.34,-0.976,0.287,-0.643,
15/02/2017 04:01,75,0.464576,Acquiring,15516,33.34,-0.315,0.573,-0.362,
15/02/2017 04:01,75,0.431392,Acquiring,17123,33.34,-0.908,-0.065,0.402,
15/02/2017 04:01,75,0.33184,Acquiring,15718,33.34,0.007,-0.852,2.123,
15/02/2017 04:01,76,0.846192,Acquiring,15253,33.34,-0.482,-0.689,-0.885,
15/02/2017 04:01,76,0.315248,Acquiring,15189,33.34,-0.617,-0.365,-0.225,
15/02/2017 04:01,76,0.282064,Acquiring,15189,33.34,-0.833,-0.656,-0.858,
15/02/2017 04:01,76,0.929152,Acquiring,14875,33.34,-0.327,-0.207,0.742,
15/02/2017 04:01,76,0.514352,Acquiring,14226,33.34,-0.571,-0.142,0.777,
15/02/2017 04:01,76,0.447984,Acquiring,14170,33.34,-0.596,-0.323,0.742,
15/02/2017 04:01,76,0.199104,Acquiring,14753,33.34,-0.629,-0.225,0.746,
15/02/2017 04:01,76,0.696864,Acquiring,14753,33.34,-0.621,-0.398,0.897,
15/02/2017 04:01,76,0.282064,Acquiring,21140,33.34,-0.45,-0.089,0.808,
15/02/2017 04:01,76,0.149328,Acquiring,15384,33.34,-0.454,-0.263,0.752,
15/02/2017 04:01,76,0.149328,Acquiring,14456,33.34,-0.468,0.048,0.902,
15/02/2017 04:01,76,0.116144,Acquiring,14456,33.34,-0.864,0.161,1.161,
15/02/2017 04:01,76,0.199104,Acquiring,13576,33.34,-0.235,0.625,1.025,
15/02/2017 04:01,76,0.33184,Acquiring,14693,33.34,-0.588,0.067,0.868,
15/02/2017 04:01,76,0.149328,Acquiring,14114,33.34,-0.554,0.056,0.897,
15/02/2017 04:01,76,0.49776,Acquiring,14693,33.34,-0.477,0.315,0.803,
15/02/2017 04:01,76,0.149328,Acquiring,14693,33.34,-0.515,0.292,0.788,
15/02/2017 04:01,76,0.813008,Acquiring,12791,33.34,-0.556,0.29,0.8,
15/02/2017 04:01,76,0.779824,Acquiring,12791,33.34,-0.553,0.278,0.808,
15/02/2017 04:01,76,0.862784,Acquiring,10603,33.34,-0.557,0.274,0.805,
15/02/2017 04:01,76,0.862784,Acquiring,10669,33.34,-0.558,0.266,0.808,
15/02/2017 04:01,76,0.779824,Acquiring,10669,33.34,-0.558,0.264,0.804,
